graph,trial_number,cue_MST,label,correct_Ans_MST
graph_2,1,stim/gravy boat_a.png,old,left
graph_2,2,stim/broom_b.jpg,similar,down
graph_1,3,stim/treadmill_b.png,new,right
graph_1,4,stim/allen wrench_a.png,new,right
graph_1,5,stim/leaf blower_b.jpg,similar,down
graph_2,6,stim/disco ball_b.png,new,right
graph_1,7,stim/flashlight_a.jpg,similar,down
graph_1,8,stim/cinnamon roll_b.png,new,right
graph_2,9,stim/guitar amplifier_a.jpg,similar,down
graph_2,10,stim/sunflower_a.png,new,right
graph_1,11,stim/pool table_b.jpg,similar,down
graph_2,12,stim/circular saw blade_b.png,old,left
graph_2,13,stim/guitar amplifier_b.png,old,left
graph_1,14,stim/beanie_a.png,new,right
graph_1,15,stim/clarinet_a.png,old,left
graph_1,16,stim/leaf blower_a.png,old,left
graph_2,17,stim/circular saw blade_a.jpg,similar,down
graph_1,18,stim/hedge shears_b.png,old,left
graph_2,19,stim/pretzel_b.jpg,similar,down
graph_2,20,stim/tennis ball_a.png,old,left
graph_1,21,stim/trampoline_a.jpg,similar,down
graph_2,22,stim/gravy boat_b.jpg,similar,down
graph_2,23,stim/rake_b.png,new,right
graph_1,24,stim/flashlight_b.png,old,left
graph_2,25,stim/binder_a.png,new,right
graph_2,26,stim/wallet_a.png,new,right
graph_1,27,stim/hedge shears_a.jpg,similar,down
graph_1,28,stim/baseball_b.png,new,right
graph_2,29,stim/pretzel_a.png,old,left
graph_1,30,stim/pool table_a.png,old,left
graph_2,31,stim/paper lantern_a.png,new,right
graph_1,32,stim/television_a.png,new,right
graph_2,33,stim/tennis ball_b.jpg,similar,down
graph_1,34,stim/clarinet_b.jpg,similar,down
graph_1,35,stim/trampoline_b.png,old,left
graph_2,36,stim/broom_a.png,old,left
